"Name","Price","Year","Mileage","Fuel","Transmission","Source"
"Ford Fiesta",7763,"2016",34189,"Petrol","Manual","TheAA"
"Ford EcoSport",7812,"2017",36780,"Petrol","Manual","TheAA"
"Audi A1",8864,"2017",83496,"Diesel","Manual","TheAA"
"Nissan Micra",9239,"2018",29463,"Petrol","Manual","TheAA"
"Renault Captur",9312,"2019",42163,"Petrol","Manual","TheAA"
"Fiat 500",10143,"2021",20115,"Petrol","Manual","TheAA"
"SEAT Arona",11253,"2018",28550,"Petrol","Manual","TheAA"
"Ford Focus",11404,"2018",28983,"Petrol","Manual","TheAA"
"Ford Focus",13564,"2020",24882,"Petrol","Manual","TheAA"
"Ford Fiesta",13673,"2021",4774,"Petrol","Manual","TheAA"
"Ford Transit",14000,"2021",55100,"Diesel","Manual","TheAA"
"Ford Transit Connect",14000,"2019",24406,"Diesel","Manual","TheAA"
"Hyundai i20",14115,"2023",7040,"Petrol","Manual","TheAA"
"Renault Captur",14283,"2023",27422,"Petrol","Manual","TheAA"
"Hyundai KONA",14640,"2023",18901,"Petrol","Manual","TheAA"
"Citroen C3",14901,"2024",12413,"Petrol","Automatic","TheAA"
"Ford Fiesta",15184,"2022",12520,"Petrol","Manual","TheAA"
"Volkswagen T-Cross",15205,"2021",24551,"Petrol","Manual","TheAA"
"Volkswagen Polo",15523,"2021",25230,"Petrol","Manual","TheAA"
"Kia Ceed",15704,"2023",25759,"Petrol","Manual","TheAA"
"Skoda Fabia",22495,"2024",1831,"Petrol","Semiauto","TheAA"
"Skoda Kamiq",22695,"2024",1724,"Petrol","Semiauto","TheAA"
"Skoda Kamiq",22995,"2024",3000,"Petrol","Semiauto","TheAA"
"Skoda Karoq",23295,"2023",21000,"Petrol","Automatic","TheAA"
"Skoda Octavia",23495,"2024",12,"Petrol","Manual","TheAA"
"Skoda Octavia",23995,"2024",12,"Petrol","Manual","TheAA"
"Skoda Octavia",23995,"2024",9,"Petrol","Manual","TheAA"
"Skoda Octavia Estate",23995,"2023",15190,"Diesel","Semiauto","TheAA"
"Skoda Karoq",23995,"2024",4000,"Petrol","Manual","TheAA"
"Skoda Kodiaq",23995,"2019",57265,"Diesel","Automatic","TheAA"
"Skoda Karoq",25495,"2024",5543,"Petrol","Automatic","TheAA"
"Skoda Karoq",25895,"2024",3542,"Petrol","Manual","TheAA"
"Skoda Superb",25995,"2024",7885,"Petrol","Semiauto","TheAA"
"Skoda Superb",26495,"2024",10321,"Petrol","Semiauto","TheAA"
"Skoda Enyaq",26795,"2024",839,"Electric","Automatic","TheAA"
"Skoda Karoq",26995,"2024",5540,"Petrol","Automatic","TheAA"
"Skoda Karoq",26995,"2024",3936,"Petrol","Automatic","TheAA"
"Skoda Superb Estate",30995,"2024",244,"Diesel","Semiauto","TheAA"
"Skoda Kodiaq",33995,"2024",5525,"Hybrid","Automatic","TheAA"
"Skoda Kodiaq",36995,"2024",5263,"Diesel","Automatic","TheAA"
